Filename,Predicted_Time
xa.s16.00.mhz.1973-08-25HR00_evid00443.mseed,24480.106428571427
xa.s16.00.mhz.1973-12-18HR00_evid00487.mseed,70147.7492857143
xa.s16.00.mhz.1974-11-14HR00_evid00587.mseed,69714.90857142858
xa.s16.00.mhz.1972-09-10HR00_evid00075.mseed,47237.43761904761
xa.s16.00.mhz.1972-11-06HR00_evid00079.mseed,15175.601428571426
xa.s16.00.mhz.1972-11-08HR00_evid00080.mseed,66777.88571428572
xa.s16.00.mhz.1972-11-14HR00_evid00081.mseed,34487.75357142857
xa.s16.00.mhz.1973-07-31HR00_evid00123.mseed,35753.13357142857
xa.s16.00.mhz.1974-05-19HR00_evid00146.mseed,64183.25476190477
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,57734.902619047614
xa.s16.00.mhz.1974-12-12HR02_evid00168.mseed,56032.09428571428
xa.s16.00.mhz.1974-12-15HR00_evid00172.mseed,28014.95
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,64398.342619047624
xa.s16.00.mhz.1975-02-19HR00_evid00180.mseed,30988.555
xa.s16.00.mhz.1975-03-26HR00_evid00186.mseed,7857.427857142857
xa.s16.00.mhz.1977-04-17HR00_evid00249.mseed,75368.98928571428
xa.s16.00.mhz.1977-06-02HR00_evid00255.mseed,52120.50547619047
xa.s15.00.mhz.1974-02-06HR00_evid00497.mseed,10670.106428571427
xa.s15.00.mhz.1974-06-16HR00_evid00536.mseed,70595.57976190475
xa.s15.00.mhz.1974-06-30HR00_evid00542.mseed,32632.698571428573
xa.s15.00.mhz.1974-08-04HR00_evid00557.mseed,48621.72071428571
xa.s15.00.mhz.1975-05-20HR00_evid00653.mseed,57746.84619047619
xa.s15.00.mhz.1973-04-04HR00_evid00098.mseed,58820.557857142856
xa.s15.00.mhz.1973-08-10HR00_evid00126.mseed,62069.62619047619
xa.s15.00.mhz.1973-10-27HR00_evid00134.mseed,39398.280714285705
xa.s15.00.mhz.1974-10-19HR00_evid00157.mseed,70300.8669047619
xa.s15.00.mhz.1974-11-17HR00_evid00162.mseed,71079.84785714286
xa.s15.00.mhz.1974-11-21HR00_evid00166.mseed,51892.572142857134
xa.s15.00.mhz.1974-12-15HR00_evid00169.mseed,28824.81
